date,prec,et,temp,tm
2010-01-19,0.04,1.75827725,31.02146267,28.87381256
2010-01-20,0.16,1.420510173,31.49415385,28.87381256
2010-01-21,0.44,1.556699434,33.05745508,28.87381256
2010-01-22,1.84,1.71001762,33.08757735,28.87381256
2010-01-23,3.43,1.600192288,31.15570506,28.87381256
2010-01-24,4.94,1.310222513,29.41731346,28.87381256
2010-01-25,2.15,1.18983214,30.04303392,28.87381256
2010-01-26,0.39,1.477694628,31.03990508,28.87381256
2010-01-27,3.6,1.258828343,30.88177111,28.87381256
2010-01-28,9.56,1.560768508,31.43938695,28.87381256
2010-01-29,0.29,1.437463584,30.7090404,28.87381256
2010-01-30,0.03,1.745095777,31.79080592,28.87381256
2010-01-31,0.02,1.320008353,31.95815429,28.87381256
2010-02-01,0.07,1.692335556,32.90871112,28.87381256
2010-02-02,0.05,1.426244772,31.69283136,28.87381256
2010-02-03,0.04,1.421904288,32.20574141,28.87381256
2010-02-04,0.01,1.424161815,32.70325329,28.87381256
2010-02-05,0.48,1.542236585,32.27733385,28.87381256
2010-02-06,5.96,1.396400924,29.52785702,28.87381256
2010-02-07,0.48,0.917178429,28.7420165,28.87381256
2010-02-08,0.18,1.329932287,31.02061636,28.87381256
2010-02-09,5.62,1.581803137,29.68990845,28.87381256
2010-02-10,0.42,1.374934845,29.29478682,28.87381256
2010-02-11,0.23,1.535615664,30.71907232,28.87381256
2010-02-12,0,1.579451999,31.85164274,28.87381256
2010-02-13,0.09,1.826623897,32.18158928,28.87381256
2010-02-14,6.35,1.704212805,30.60076994,28.87381256
2010-02-15,0.01,1.525657121,31.27299877,28.87381256
2010-02-16,0.16,1.735631864,30.18190017,28.87381256
2010-02-17,0.08,1.320682275,29.77715432,28.87381256
2010-02-18,0.03,1.726246578,31.92461115,28.87381256
2010-02-19,0.12,1.811698245,32.34682816,28.87381256
2010-02-20,0.4,1.510854526,30.17110636,28.87381256
2010-02-21,3.63,1.249408875,33.31373682,28.87381256
2010-02-22,1.07,1.555732596,30.142363,28.87381256
2010-02-23,25.44,1.840408632,30.57587191,28.87381256
2010-02-24,2.75,1.44901279,29.15236737,28.87381256
2010-02-25,11.96,1.632641346,28.58647726,28.87381256
2010-02-26,14.7,1.283135058,28.89220737,28.87381256
2010-02-27,0.3,1.742249992,30.69973789,28.87381256
2010-02-28,0.05,2.127821863,31.42881098,28.87381256
2010-03-01,0.03,1.561532686,30.90193971,28.87381256
2010-03-02,2.38,1.577181854,30.95662278,28.87381256
2010-03-03,2.03,1.627568011,29.59414176,28.87381256
2010-03-04,0.01,1.606685472,29.85092952,28.87381256
2010-03-05,0.01,1.58666213,30.78918911,28.87381256
2010-03-06,7.28,1.42388429,30.6325795,28.87381256
2010-03-07,1.38,1.674437769,31.37851722,28.87381256
2010-03-08,0.54,1.886518407,31.26064131,28.87381256
2010-03-09,1.8,1.582347386,30.01807849,28.87381256
2010-03-10,14.82,1.324601086,30.45978895,28.87381256
2010-03-11,11.87,1.81293043,29.70649147,28.87381256
2010-03-12,0.06,1.651897196,30.40813969,28.87381256
2010-03-13,0.18,1.759371409,30.12476272,28.87381256
2010-03-14,11.72,1.391863897,31.3279156,28.87381256
2010-03-15,0.06,1.94295785,32.05803128,28.87381256
2010-03-16,0.27,1.86655825,31.50400614,28.87381256
2010-03-17,2.96,1.88171275,30.35496292,28.87381256
2010-03-18,2.01,1.457892654,28.43496284,28.87381256
2010-03-19,0.07,1.494904499,29.19626577,28.87381256
2010-03-20,1.84,1.767531064,29.53535592,28.87381256
2010-03-21,0,1.788183794,29.98491369,28.87381256
2010-03-22,1.96,1.65793551,30.16783262,28.87381256
2010-03-23,1.86,1.58331518,30.16147502,28.87381256
2010-03-24,2.08,1.497069816,31.84015403,28.87381256
2010-03-25,0.06,2.140310756,32.63201849,28.87381256
2010-03-26,1.87,1.844403303,29.45806583,28.87381256
2010-03-27,0.03,1.220532834,30.02402715,28.87381256
